axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
purus phasellus in felis donec semper sapien,299495.42,integer pede justo,4,2,6.98,14.02,7.87,vehicula consequat morbi,4,4,43.43,92996.95,64183.5,35.68,22855.0,33.4
eu massa donec dapibus duis at,355132.0,consectetuer eget rutrum at lorem,7,6,19.78,8.36,14.25,amet nunc viverra,2,2,29.21,18531.29,22074.85,37.28,20705.32,20.2
in leo maecenas pulvinar lobortis est phasellus sit amet erat,110770.0,est lacinia,5,8,12.41,14.33,16.51,posuere felis sed lacus morbi,2,4,49.44,96523.77,38073.54,31.2,64151.53,31.49
nunc donec quis orci eget orci vehicula condimentum curabitur,193826.21,ultrices posuere cubilia curae donec,7,4,12.66,19.92,13.3,vitae ipsum aliquam non mauris,4,3,24.51,41812.93,85675.73,36.81,35840.92,32.98
porttitor pede justo eu massa donec dapibus duis at velit,432010.59,sed tincidunt eu felis fusce,7,2,7.39,18.69,13.61,ridiculus mus vivamus,3,3,45.0,45098.95,16232.2,45.5,29901.24,30.87
auctor sed tristique in tempus sit amet sem,176995.62,varius nulla,4,5,14.96,11.8,6.25,phasellus sit amet,3,2,32.61,44795.64,28415.96,38.21,98730.49,37.89
quis orci nullam molestie nibh,241416.38,ipsum dolor sit amet consectetuer,5,3,19.69,18.13,6.87,aenean lectus pellentesque eget nunc,2,3,44.97,47019.79,57731.24,47.09,17841.61,22.26
ac leo pellentesque ultrices mattis,197326.44,rhoncus sed vestibulum sit,3,9,14.85,12.01,18.88,fusce lacus,2,3,28.41,90067.54,52945.03,21.35,51987.78,24.06
in quam fringilla rhoncus mauris,129220.96,donec vitae nisi,5,2,12.81,9.01,15.82,adipiscing molestie hendrerit at,3,3,29.86,25796.44,35744.83,24.81,48721.11,30.29
tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,260854.51,aliquet maecenas leo odio condimentum,8,8,15.65,6.69,9.77,urna ut tellus nulla,4,4,46.71,80028.37,24896.94,28.0,15615.31,32.41
urna ut tellus nulla ut erat,461048.18,id nulla,10,10,6.39,13.08,10.45,volutpat dui maecenas tristique est,2,3,32.22,82280.7,34231.97,34.87,74019.12,48.92
blandit mi in porttitor pede justo eu massa donec,221065.01,quis justo maecenas rhoncus,6,6,13.26,18.35,13.85,in est risus,3,2,47.59,20120.7,65201.28,40.73,20494.7,45.88
tempus vivamus in felis eu sapien cursus vestibulum,202499.0,mattis pulvinar nulla pede ullamcorper,9,9,11.27,17.38,10.98,nunc commodo placerat praesent,2,2,27.08,35821.51,89196.26,43.73,83641.65,41.6
congue diam id ornare imperdiet sapien urna pretium nisl ut,248755.42,consequat dui nec nisi,6,9,19.35,8.45,7.77,pharetra magna ac,2,2,44.74,89865.65,46080.74,48.42,34319.54,36.29
dui luctus rutrum nulla tellus in sagittis dui vel nisl,202450.81,congue vivamus metus arcu,3,8,11.33,12.75,9.07,id luctus,4,3,26.28,27089.4,36121.61,44.62,81330.42,35.23
tincidunt lacus at velit vivamus,455456.38,quam a,5,4,12.07,14.14,13.66,nulla sed accumsan,4,2,33.54,16555.5,16800.73,47.34,89557.37,37.63
viverra pede ac diam cras pellentesque volutpat dui,410295.93,quam pharetra,9,2,8.87,12.67,16.23,pellentesque ultrices,3,3,20.82,65362.55,68239.7,40.89,58758.21,27.76
sed magna at nunc commodo placerat praesent blandit nam,107466.37,mauris lacinia sapien quis,8,10,19.65,13.32,16.38,velit id pretium iaculis,2,3,30.7,34603.37,55603.79,43.37,19168.0,41.66
nam dui proin leo odio porttitor id consequat in consequat,178403.3,rhoncus mauris enim leo rhoncus,8,8,17.33,8.99,9.14,curae mauris viverra diam vitae,2,4,34.39,23604.41,13598.53,48.32,18612.68,22.62
iaculis diam erat fermentum justo nec condimentum neque,228211.02,turpis sed,5,8,10.62,9.0,14.86,at dolor quis odio,4,3,39.43,89939.28,68859.05,23.62,22707.39,35.49
dui maecenas tristique est et,306169.05,tempus vivamus in,10,8,12.64,14.11,11.09,lectus aliquam sit,4,4,37.05,63260.54,35770.79,46.73,40997.01,44.25
integer ac neque duis bibendum morbi non quam nec,221052.12,sollicitudin vitae consectetuer eget rutrum,6,8,10.04,8.22,9.07,pellentesque eget nunc,3,2,26.63,46782.98,13827.69,46.48,42752.19,33.1
praesent id massa id nisl venenatis,422225.56,fusce posuere felis sed,10,3,17.51,12.54,17.72,justo maecenas rhoncus aliquam,3,4,46.18,92368.15,22448.4,25.8,47771.21,41.41
in quam fringilla rhoncus mauris enim,321925.2,laoreet ut rhoncus aliquet,10,3,15.88,9.06,8.35,semper interdum,2,4,34.6,39903.75,53646.15,20.25,55174.55,32.01
suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,175621.11,consectetuer adipiscing elit,6,7,18.51,11.66,17.34,faucibus orci luctus et ultrices,2,3,22.14,56058.36,73739.06,35.54,31995.44,39.1
facilisi cras non velit nec nisi vulputate nonummy,355194.12,faucibus orci luctus,4,7,18.34,7.24,14.26,quam pede lobortis ligula sit,2,3,35.58,73662.92,74373.0,47.21,93790.29,45.52
et tempus semper est quam pharetra magna ac consequat,221124.85,ultrices posuere,4,7,10.73,6.59,9.52,amet nulla,3,4,38.2,21192.86,58923.93,33.5,49693.84,37.54
mi in porttitor pede justo eu massa donec dapibus duis,360659.27,quis turpis sed ante,8,6,15.94,11.48,6.46,sollicitudin mi sit amet lobortis,2,2,29.49,40038.44,15112.63,38.67,90750.83,36.95
felis sed lacus morbi sem,440609.45,interdum mauris,7,9,12.82,18.01,17.06,sagittis nam congue risus,4,2,25.77,13437.51,72637.0,21.78,31191.11,29.04
a nibh in quis justo maecenas rhoncus,242721.02,nec molestie,6,6,10.21,9.63,18.96,sapien cum sociis natoque,3,3,22.4,42865.73,82394.1,45.29,39808.34,21.48
quis lectus suspendisse potenti in eleifend,174699.52,posuere felis sed,7,3,7.71,9.02,6.93,semper interdum mauris ullamcorper purus,3,4,24.94,54115.63,47358.4,23.5,52298.24,31.01
vel pede morbi porttitor lorem id,118128.34,nulla integer,3,5,7.06,12.17,8.98,fusce posuere,4,2,33.3,62497.23,67372.34,49.42,10824.42,36.17
eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,325627.88,erat volutpat in congue etiam,3,4,18.35,13.75,19.6,in lacus curabitur,3,3,49.61,14847.97,46456.48,28.38,77060.4,47.24
proin eu mi nulla ac enim in tempor turpis nec,202556.53,nibh quisque id justo,4,5,6.08,14.34,6.23,venenatis tristique fusce,2,2,40.55,97648.87,53460.23,45.07,92574.47,48.17
ultrices posuere cubilia curae mauris viverra diam,152430.46,praesent lectus,4,10,17.4,6.05,8.31,massa tempor convallis nulla,4,2,21.06,97523.3,21861.62,34.37,80810.68,33.84
in sapien iaculis congue vivamus metus arcu,297539.72,curae mauris,5,8,6.58,7.84,16.57,velit nec nisi vulputate,3,3,31.91,23871.4,90644.39,40.17,81343.36,29.38
fermentum justo nec condimentum neque sapien placerat,391717.68,elementum ligula vehicula consequat morbi,3,2,8.3,19.55,13.95,turpis sed ante vivamus,2,2,39.42,84479.58,15631.7,49.54,80951.93,27.61
faucibus cursus urna ut tellus,366461.39,maecenas tincidunt lacus,10,6,6.34,16.62,17.12,ligula in lacus,2,3,27.22,14658.73,52021.39,21.69,60799.52,28.78
eu sapien cursus vestibulum proin eu,414245.81,sem mauris laoreet,6,9,19.44,14.35,17.58,etiam faucibus,4,2,26.95,62504.53,85728.83,41.63,86973.71,45.11
ante nulla justo aliquam quis turpis eget elit sodales scelerisque,333799.16,donec ut dolor morbi,8,2,9.24,9.43,7.32,lacinia sapien quis libero,4,2,39.69,79188.55,36585.26,44.62,28189.2,45.37
nec nisi vulputate nonummy maecenas tincidunt lacus,476663.9,sem sed sagittis,8,2,19.12,19.6,12.7,non interdum in ante,2,3,26.74,95566.93,60320.79,23.63,15728.31,48.38
ac consequat metus sapien ut nunc,311259.56,vitae consectetuer eget rutrum at,10,2,13.5,19.38,17.97,ipsum aliquam non,2,2,43.4,18179.26,30370.75,29.78,97593.99,43.87
congue elementum in hac habitasse,429979.12,non lectus aliquam,10,4,13.34,8.97,13.65,ac est lacinia nisi,4,3,40.98,93219.76,98445.51,28.92,95434.75,36.62
nulla nunc purus phasellus in felis donec semper,411141.03,morbi quis tortor id nulla,8,6,16.5,11.77,15.11,eu orci mauris lacinia sapien,4,4,27.23,92035.33,10683.36,45.95,30020.59,27.92
metus aenean fermentum donec ut mauris eget massa tempor,187564.98,in felis,5,6,7.73,19.37,6.55,elit sodales scelerisque mauris,3,4,42.88,12485.2,11873.86,27.88,70930.47,35.5
ridiculus mus vivamus vestibulum sagittis,429821.14,lacinia aenean,7,2,8.11,13.88,9.5,cum sociis,4,2,38.75,51902.21,92027.45,42.12,30523.32,38.3
imperdiet nullam orci pede venenatis non sodales sed,199535.15,lacus at velit vivamus vel,7,5,7.09,9.0,17.24,augue quam sollicitudin,4,4,33.52,80386.72,92243.83,35.85,58350.7,49.72
vehicula condimentum curabitur in libero ut massa volutpat,284224.55,rutrum nulla nunc purus,4,10,17.93,12.29,15.36,commodo placerat praesent,4,4,37.61,27331.96,63586.24,49.35,42405.86,29.66
mauris sit amet eros suspendisse,150325.44,nibh in quis justo,3,6,16.31,7.59,7.72,placerat praesent blandit nam nulla,4,4,41.12,43084.98,88757.33,34.55,75820.56,26.05
felis sed lacus morbi sem mauris laoreet,353948.9,nisi eu,10,7,18.55,16.78,12.59,blandit mi in porttitor pede,3,3,26.94,58153.22,73427.13,45.09,98168.38,39.43
iaculis congue vivamus metus arcu,245962.04,leo odio condimentum id luctus,3,6,8.59,17.1,15.38,et ultrices posuere cubilia curae,3,4,38.23,57934.17,84761.56,49.76,77101.38,25.4
suspendisse ornare consequat lectus in est risus auctor sed tristique,461718.0,felis ut at dolor quis,6,3,16.12,7.49,18.23,sit amet,3,2,35.42,92911.52,77399.62,36.68,26886.52,23.36
suspendisse potenti nullam porttitor lacus at turpis,137301.2,ornare imperdiet sapien,4,2,14.54,11.78,17.05,ut at dolor quis odio,2,3,32.34,24935.47,35742.06,37.53,12945.15,34.54
sapien non mi integer ac neque duis bibendum morbi,275838.86,morbi quis tortor,6,10,9.08,14.45,7.66,mi sit amet lobortis sapien,4,2,24.55,38004.82,33810.66,31.04,32595.42,32.32
orci luctus et ultrices posuere,461961.03,eu orci,4,5,16.29,11.45,19.6,pellentesque quisque porta volutpat erat,2,3,46.07,87592.83,22909.04,30.34,25562.9,31.69
potenti cras in purus eu magna vulputate luctus cum sociis,309548.31,sit amet turpis elementum,6,10,12.59,14.81,17.5,sapien iaculis congue vivamus metus,4,4,37.16,31618.39,51356.85,49.58,73698.18,30.7
eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,112995.41,malesuada in imperdiet,10,4,14.97,19.5,18.27,consequat morbi a ipsum,2,2,45.76,76388.33,39128.87,27.64,56456.48,21.08
morbi non quam nec dui,445454.7,ligula suspendisse ornare consequat lectus,8,8,18.34,12.5,10.41,sed nisl nunc,2,2,20.9,28156.32,36317.8,42.25,98983.82,40.0
sed sagittis nam congue risus semper porta volutpat quam pede,367552.18,nulla eget eros elementum pellentesque,6,6,18.07,11.99,9.18,justo sollicitudin ut suscipit a,3,3,40.77,99558.12,57760.8,20.47,45550.37,49.57
non quam nec dui luctus rutrum nulla tellus in,418453.83,leo maecenas pulvinar lobortis,9,6,13.61,17.78,15.61,dapibus at diam nam tristique,2,2,28.0,69127.91,68623.29,37.73,42285.7,23.95
faucibus cursus urna ut tellus nulla,250864.11,porttitor lorem id ligula,3,8,11.65,16.06,18.36,in tempor,3,3,41.88,70944.29,59582.17,39.8,77264.5,44.34
congue risus semper porta volutpat quam pede lobortis ligula sit,263935.26,sit amet consectetuer adipiscing,9,5,10.47,12.45,8.21,sagittis sapien,2,2,42.92,67689.15,70916.09,26.48,95994.85,35.69
egestas metus aenean fermentum donec ut mauris,155068.58,curabitur gravida,9,6,19.65,15.34,11.4,nisi at,3,4,41.68,73336.14,39373.03,20.76,61091.21,26.26
pede libero quis orci nullam molestie,103605.2,ante ipsum primis in faucibus,4,6,6.05,6.02,17.11,ligula pellentesque ultrices,4,3,23.15,81394.88,68487.49,21.55,30793.3,39.36
luctus ultricies eu nibh quisque id justo,306929.58,cum sociis natoque penatibus et,6,5,14.26,18.07,15.65,nam ultrices libero,4,3,29.12,72781.31,11826.25,21.66,41344.0,38.32
a ipsum integer a nibh in quis justo,253048.8,orci vehicula condimentum curabitur,8,4,14.05,10.82,16.79,nec dui,3,3,41.9,55240.63,93651.91,37.74,17371.65,33.01
nonummy maecenas tincidunt lacus at velit vivamus,274701.28,lacinia sapien,10,5,17.65,6.63,14.06,dolor sit amet,2,4,35.05,37727.05,85938.36,31.8,50482.95,48.79
suspendisse potenti nullam porttitor lacus at turpis,178839.32,turpis sed ante,5,6,17.9,8.2,13.97,dui luctus rutrum nulla,3,3,25.76,90594.93,86489.75,21.15,59145.52,24.04
pede venenatis non sodales sed tincidunt,137579.93,sit amet,3,6,18.06,15.5,19.71,diam cras,4,2,42.06,37581.26,35975.99,49.52,99423.76,49.73
elit sodales scelerisque mauris sit amet eros suspendisse accumsan,134377.43,diam id ornare imperdiet,10,7,6.31,14.36,6.4,eget vulputate ut,4,3,44.66,69998.05,68383.26,44.65,85152.18,36.74
vel sem sed sagittis nam congue risus semper,360345.14,dolor sit amet consectetuer,5,3,19.45,11.95,9.11,sed vel enim sit amet,2,4,41.24,75149.45,83877.57,22.32,30711.89,49.08
ultrices posuere cubilia curae donec pharetra magna vestibulum,313358.86,placerat ante nulla justo aliquam,9,9,8.46,6.34,10.05,id turpis,2,2,26.55,38615.93,18009.96,37.11,50569.08,31.99
nulla quisque arcu libero rutrum ac lobortis,168101.58,vel nisl,4,6,6.78,16.61,15.33,in purus eu magna,4,4,40.52,17485.82,88836.19,30.54,29559.59,38.61
sit amet nunc viverra dapibus,126054.67,sed augue,10,9,10.51,9.72,16.92,est quam,4,3,43.86,41450.57,22547.17,33.58,84030.06,22.4
elementum in hac habitasse platea dictumst morbi,431840.59,vestibulum eget vulputate,8,9,16.12,8.21,18.37,iaculis congue vivamus metus arcu,2,3,49.09,99851.91,66070.23,35.59,75269.97,44.79
convallis eget eleifend luctus ultricies eu nibh quisque id,293523.06,vestibulum eget vulputate ut ultrices,3,8,19.65,14.66,18.68,nulla suspendisse potenti cras in,4,2,25.33,80992.23,82245.28,33.43,27265.91,31.13
mattis pulvinar nulla pede ullamcorper augue a,429803.24,justo nec condimentum neque,5,7,9.48,6.03,9.24,sapien a libero,2,2,20.17,50624.49,29907.84,24.38,53337.06,23.69
quis justo maecenas rhoncus aliquam,184577.88,phasellus in,8,2,11.47,14.37,14.67,amet diam,2,4,30.24,18970.87,44865.97,32.47,83734.57,21.38
cras mi pede malesuada in imperdiet et commodo vulputate,309273.53,bibendum imperdiet nullam orci,3,10,16.5,9.47,8.39,primis in faucibus orci,4,4,44.08,41189.99,96436.63,47.94,15651.82,27.1
dapibus at diam nam tristique tortor eu pede,407603.95,nonummy maecenas tincidunt lacus at,7,8,19.11,19.47,9.85,mattis egestas metus,4,4,42.33,48814.68,19451.23,40.33,50590.36,41.29
integer pede justo lacinia eget tincidunt eget tempus,197554.16,eleifend donec ut dolor,10,3,17.07,6.25,19.43,semper sapien,3,2,37.27,40474.29,65725.19,42.49,25585.43,47.05
potenti cras in purus eu,210448.06,leo pellentesque ultrices mattis odio,10,4,11.1,9.86,7.46,mi pede,3,3,21.34,44209.05,54951.03,40.63,20972.12,46.74
malesuada in imperdiet et commodo,379349.23,ac tellus semper interdum,5,2,13.57,14.9,15.23,luctus et ultrices posuere,3,2,23.94,34681.59,12397.29,48.06,27563.95,43.79
volutpat in congue etiam justo etiam pretium,328294.64,non sodales,8,7,11.44,18.65,13.35,nunc commodo placerat,2,3,35.61,15698.66,70877.4,22.87,82652.7,29.44
at ipsum ac tellus semper,372889.66,id lobortis convallis,10,4,18.99,18.67,9.91,cursus vestibulum proin eu,2,4,38.42,86537.18,58745.18,31.11,90972.73,29.87
lacus morbi quis tortor id nulla ultrices aliquet,155346.97,quisque id justo sit,10,5,12.62,15.91,7.07,habitasse platea dictumst maecenas ut,2,2,23.52,35352.5,37480.6,49.5,98116.04,31.64
erat curabitur gravida nisi at nibh in hac,230864.11,ipsum praesent blandit lacinia erat,8,4,18.74,6.06,17.96,eu pede,2,3,32.98,60483.39,34049.97,33.73,39437.13,22.5
a pede posuere nonummy integer non velit donec,297664.0,metus sapien ut,10,8,7.28,11.94,19.72,semper porta volutpat quam pede,4,4,44.38,36993.96,87490.11,42.74,86802.66,37.75
suspendisse potenti nullam porttitor lacus at turpis donec posuere,473526.12,potenti in eleifend quam,5,7,13.87,9.9,18.19,morbi sem mauris laoreet ut,3,3,41.78,39562.07,49185.73,39.28,75207.64,35.55
pellentesque ultrices mattis odio donec vitae nisi nam,450132.11,justo in blandit ultrices,8,7,19.72,12.86,12.52,potenti nullam porttitor lacus at,4,3,40.73,55325.55,65818.61,47.14,95559.98,23.16
duis bibendum felis sed interdum venenatis turpis enim,254115.86,potenti in,6,6,13.2,11.85,18.61,id turpis integer,2,2,43.08,61809.54,70816.89,47.98,61897.44,40.77
sem duis aliquam convallis nunc proin at turpis,445748.01,ante ipsum primis in faucibus,7,7,13.37,15.25,17.01,eget tincidunt eget tempus vel,4,2,43.08,92944.23,70212.96,40.45,58983.48,36.21
sit amet nunc viverra dapibus nulla suscipit,474525.05,orci vehicula condimentum curabitur,3,6,16.98,17.48,15.0,curabitur gravida,3,2,31.26,80096.64,38154.82,36.8,72645.88,31.64
id justo sit amet sapien,476819.82,dolor morbi vel,6,4,6.74,18.56,16.58,ut at dolor quis odio,3,4,30.58,93954.87,71420.04,23.29,74276.83,20.26
iaculis congue vivamus metus arcu adipiscing,351827.63,cras pellentesque,9,9,9.71,14.02,10.11,felis donec semper sapien,4,3,37.46,73448.32,73789.95,47.95,39870.62,32.24
ante vivamus tortor duis mattis egestas metus aenean,106647.0,id consequat in consequat,10,5,7.54,16.48,16.91,eu magna,4,3,45.52,77294.19,86300.76,26.48,86818.37,24.78
justo etiam pretium iaculis justo in hac habitasse platea dictumst,439532.56,sit amet justo morbi,6,3,10.37,6.77,6.06,et ultrices posuere cubilia,3,3,24.86,99445.26,63544.75,42.83,11334.46,37.7
pretium quis lectus suspendisse potenti in eleifend quam a,479553.75,nisl aenean lectus pellentesque eget,5,4,15.54,6.89,8.97,eu interdum,4,3,32.47,13347.51,34494.55,44.0,73771.42,34.7
tristique est et tempus semper est quam pharetra magna ac,281031.99,quam pede lobortis ligula sit,7,2,17.33,11.26,12.56,imperdiet et commodo vulputate,3,3,44.9,70078.0,73028.2,44.66,79886.07,22.53
mattis egestas metus aenean fermentum donec ut,180839.02,odio condimentum id,6,9,12.17,17.76,12.67,semper sapien a libero nam,3,3,27.11,48670.49,57665.3,44.93,64157.27,24.48
sapien cum sociis natoque penatibus et magnis dis parturient montes,336108.51,libero convallis eget eleifend luctus,9,7,6.87,13.6,9.97,nec condimentum neque sapien placerat,4,3,46.66,44274.17,10069.68,24.62,24118.46,44.09
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,435251.2,non quam nec dui luctus,6,9,6.25,17.22,9.98,vel ipsum praesent blandit,2,4,22.6,75465.36,57759.74,43.79,28182.42,35.33
sapien in sapien iaculis congue vivamus,141636.39,nulla pede ullamcorper,4,4,16.91,8.14,15.5,faucibus accumsan odio curabitur,3,2,26.81,31314.23,83456.66,45.65,61860.75,38.27
nunc nisl duis bibendum felis sed interdum venenatis,464141.06,sed magna,8,7,9.6,14.32,11.0,ut dolor morbi vel,3,2,24.7,22704.64,87132.44,30.04,30416.66,38.17
praesent lectus vestibulum quam sapien varius ut blandit non,175474.61,sapien a libero,3,9,8.37,11.53,16.29,morbi vel lectus in quam,4,2,46.29,66948.82,88873.71,34.82,44488.97,37.81
in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,273790.39,a ipsum integer a,4,10,9.59,16.38,12.94,mi sit amet lobortis sapien,4,4,20.84,44996.25,60680.18,40.31,53058.32,42.36
justo eu massa donec dapibus duis,494222.4,urna pretium nisl ut,5,7,13.58,11.38,9.58,felis donec semper,4,2,49.41,24472.36,42051.99,32.31,19228.47,42.93
vivamus vestibulum sagittis sapien cum sociis natoque penatibus,481034.84,quam sapien,8,5,11.76,18.52,13.6,morbi ut odio cras mi,2,2,25.44,71076.29,98036.83,36.57,24271.09,44.02
vel accumsan tellus nisi eu orci mauris,384049.35,fusce consequat nulla nisl nunc,5,10,9.21,18.85,16.6,blandit mi in porttitor,3,3,48.87,92781.66,86857.35,44.52,46746.08,31.95
scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,298975.66,etiam vel augue vestibulum,5,10,6.51,9.17,8.41,eros viverra eget,4,4,47.75,29376.05,58165.59,23.75,76177.11,46.04
dis parturient montes nascetur ridiculus,154881.06,mi pede malesuada in imperdiet,5,3,8.03,16.09,15.71,velit eu est congue,4,4,31.78,43161.43,70123.15,30.44,30900.89,49.04
id justo sit amet sapien dignissim,272486.8,non velit nec nisi,4,7,8.85,11.11,15.92,sit amet,2,2,35.18,89969.86,71963.02,45.79,26390.5,43.86
dapibus dolor vel est donec,181430.0,convallis nunc,9,5,9.46,17.52,11.29,semper sapien a libero,3,2,27.94,58793.76,13971.95,21.13,16121.76,31.63
nunc donec quis orci eget orci,266492.57,mauris vulputate elementum nullam varius,8,3,11.17,7.16,13.06,rutrum neque aenean auctor gravida,2,4,43.56,16814.69,76525.88,40.93,15658.74,41.37
nullam sit amet turpis elementum ligula,223220.69,platea dictumst morbi,7,5,7.73,11.45,10.01,ac tellus,4,3,23.78,52667.75,51503.78,22.97,72522.27,36.09
id massa id nisl venenatis lacinia aenean,143356.69,ipsum praesent blandit lacinia,6,2,8.53,6.51,17.64,eu mi nulla ac enim,2,2,38.24,37664.96,90263.65,40.17,63943.68,31.41
ultrices aliquet maecenas leo odio condimentum id luctus nec,375564.11,aliquet at feugiat non pretium,10,2,17.44,18.75,14.81,vulputate vitae nisl,3,4,47.45,55312.52,79790.66,32.06,57841.38,33.01
vestibulum ante ipsum primis in faucibus orci luctus et ultrices,422763.46,accumsan felis ut at dolor,3,3,13.87,6.92,6.76,nisl venenatis,3,2,23.91,38222.58,16364.14,45.37,30372.14,38.67
in faucibus orci luctus et ultrices posuere,478648.92,proin eu mi nulla,9,2,12.45,16.5,14.9,ultrices posuere cubilia curae,2,4,24.08,39117.22,38305.76,38.23,71402.82,49.26
sem praesent id massa id nisl venenatis lacinia aenean sit,231692.68,donec ut mauris,7,2,15.19,13.47,9.75,aliquam lacus morbi quis,3,2,20.82,84934.54,72374.65,32.62,58225.87,43.09
duis consequat dui nec nisi volutpat,327237.18,in faucibus,7,9,13.62,15.72,13.39,ante ipsum primis in,2,3,44.43,78338.31,95817.42,44.44,57248.54,20.67
vestibulum aliquet ultrices erat tortor sollicitudin mi,379334.31,ipsum praesent blandit lacinia,4,7,6.14,11.03,12.3,eu mi nulla ac,2,3,40.77,75692.9,27174.54,45.76,31545.21,23.66
magnis dis parturient montes nascetur ridiculus mus etiam vel,246788.96,orci mauris,5,7,12.6,19.41,19.15,montes nascetur ridiculus,4,3,32.75,18109.87,23557.81,37.59,98645.51,42.99
in leo maecenas pulvinar lobortis,148594.33,lacus at velit,9,4,10.84,16.23,15.89,eget orci vehicula condimentum curabitur,3,4,24.34,93043.94,13312.86,44.8,25000.82,40.17
hac habitasse platea dictumst aliquam augue quam sollicitudin,137950.26,nibh in lectus pellentesque,10,8,13.67,14.46,17.61,nunc purus,4,3,44.51,29731.83,19611.66,42.38,25019.35,30.86
augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,468608.53,lorem quisque ut erat curabitur,5,10,9.66,11.09,6.97,donec dapibus,4,2,45.72,84946.67,99210.23,31.57,43268.75,21.23
et magnis dis parturient montes nascetur ridiculus,374107.0,felis sed,7,3,9.24,14.31,18.24,odio condimentum id luctus nec,3,3,48.97,82753.11,72458.17,38.82,86644.18,48.14
aenean fermentum donec ut mauris eget,275066.23,congue etiam justo,3,9,12.15,12.49,12.42,libero quis orci,2,2,49.78,70949.93,25500.13,36.6,54838.32,41.62
elementum nullam varius nulla facilisi cras non velit,272448.03,euismod scelerisque quam turpis adipiscing,6,3,14.94,13.68,12.73,sapien in,2,3,26.34,56034.16,84550.01,33.1,68609.29,45.27
sed justo pellentesque viverra pede,469467.27,accumsan tellus,6,9,9.63,10.79,16.82,ipsum primis,3,2,27.33,18487.18,63063.01,44.84,63369.18,41.3
purus phasellus in felis donec semper sapien a,259985.6,venenatis tristique fusce congue,8,10,17.3,18.08,16.17,sociis natoque penatibus et,4,4,35.07,87908.93,48905.25,43.48,98703.04,48.48
nulla eget eros elementum pellentesque quisque porta volutpat erat,343962.67,convallis morbi odio odio elementum,7,7,13.56,12.44,17.99,feugiat non pretium,3,4,39.94,48659.11,56055.47,47.6,81029.26,43.23
et eros vestibulum ac est lacinia,175482.1,quisque ut erat curabitur,8,2,11.66,16.38,14.76,libero quis orci nullam molestie,2,2,30.46,16746.46,39984.9,42.46,99997.42,23.28
quis libero nullam sit amet turpis elementum,175645.33,eu felis fusce,5,5,17.28,12.13,15.68,libero nullam sit amet,2,4,30.83,51062.54,54411.17,20.97,31926.61,41.49
vestibulum velit id pretium iaculis diam erat fermentum justo,415597.61,vehicula condimentum curabitur in,6,9,19.15,19.35,6.19,turpis adipiscing lorem vitae,4,4,43.57,97434.14,57031.97,49.76,99644.91,34.84
ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,439275.33,nulla quisque arcu libero,8,9,9.76,11.6,10.28,ultrices posuere,2,3,25.09,83889.81,12631.65,36.94,17104.33,27.46
etiam justo etiam pretium iaculis,138682.04,lectus in quam fringilla,5,3,18.84,7.57,10.21,id sapien in sapien iaculis,4,2,26.22,13367.82,31031.78,47.17,79156.01,30.0
ac nibh fusce lacus purus aliquet at,320913.84,vivamus in felis,5,3,15.18,7.25,8.98,duis bibendum felis,3,4,40.32,57336.16,82298.75,24.9,45170.87,45.48
elit sodales scelerisque mauris sit amet eros suspendisse accumsan,271408.28,tortor risus dapibus augue vel,3,4,12.82,9.86,9.51,vel nulla,4,2,48.18,33970.01,25318.38,25.24,50412.95,46.62
id massa id nisl venenatis lacinia aenean sit amet,133223.13,duis ac nibh,8,7,10.27,7.86,18.05,nam tristique tortor,2,4,42.94,90441.22,73038.77,33.46,32712.56,41.68
luctus rutrum nulla tellus in sagittis dui,311919.2,velit id,9,4,12.52,9.32,16.25,ligula sit amet eleifend,2,4,49.43,10558.15,86088.63,36.87,85180.36,20.34
amet consectetuer adipiscing elit proin interdum mauris non ligula,304171.38,sed interdum venenatis turpis enim,7,3,18.86,11.73,8.22,eu est congue elementum,3,3,43.26,52443.43,66037.66,39.61,99691.16,21.47
maecenas ut massa quis augue luctus,345602.37,est risus auctor,7,3,15.45,14.45,13.46,sit amet eros suspendisse,2,3,28.75,97193.56,76224.63,37.54,58937.36,45.46
turpis adipiscing lorem vitae mattis nibh ligula nec sem,223593.97,nec sem duis aliquam,3,8,11.69,15.91,17.48,rutrum rutrum neque aenean,2,3,44.67,98605.4,92760.87,31.79,70475.38,22.73
sapien a libero nam dui proin leo odio,489776.0,blandit mi in porttitor,3,3,14.32,14.51,19.87,luctus et ultrices posuere cubilia,4,2,43.07,10205.9,97419.25,49.77,62091.24,30.19
